predicted	gold	index	tweet
0	1	1	Hey there! Nice to see you Minnesota/ND Winter Weather
1	1	2	@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone
1	0	3	@samcguigan544 You are not allowed to open that until Christmas day!
0	1	4	That moment when you have so much stuff to do but you open @tumblr ... #productivity #tumblr
1	0	5	Over on CBS at noon is #BALvsMIA. FOX has #SEAvsPHI after the #Saints. #NFL
0	1	6	@eXoAnnihilator @roIIerCosta @KSIOlajidebt tells someone to spell correctly while completely fucking up his tweet
0	0	7	My whole life is just "oh ok".
0	0	8	Why am I wide awake right now..:face_without_mouth:
1	1	9	My dads letting me drywall with him for Christmas. Just what I always wanted.
1	1	10	"@NBCSportsRoc: Arizona Coyotes forge deal with BMW http://t.co/s7ZhDHk5li" But, relocation!!!
